step,name,grad_norm
1,embedding.weight,0.0005423286186876006
1,rnn.weight_ih_l0,0.005253356527737976
1,rnn.weight_hh_l0,0.100377495751762
1,fc.weight,0.154822493827001
2,embedding.weight,0.00011702337229199939
2,rnn.weight_ih_l0,0.0006139585343262582
2,rnn.weight_hh_l0,0.055858735956984464
2,fc.weight,0.1295562141620722
3,embedding.weight,9.659015847930766e-05
3,rnn.weight_ih_l0,0.0004403327188640089
3,rnn.weight_hh_l0,0.04650972991204653
3,fc.weight,0.12578431104661011
4,embedding.weight,0.0001878153407942331
4,rnn.weight_ih_l0,0.0012707972595509265
4,rnn.weight_hh_l0,0.04436251087511172
4,fc.weight,0.121658059356154
5,embedding.weight,8.147372838290539e-05
5,rnn.weight_ih_l0,0.0003984381963956976
5,rnn.weight_hh_l0,0.034627207448003725
5,fc.weight,0.11723234562478105
6,embedding.weight,0.0011507668418837473
6,rnn.weight_ih_l0,0.0068966207599717635
6,rnn.weight_hh_l0,0.04588608787257652
6,fc.weight,0.11583107636600244
7,embedding.weight,0.04894382126128564
7,rnn.weight_ih_l0,0.27885849264836654
7,rnn.weight_hh_l0,0.14736473287043514
7,fc.weight,0.13832302092284451
8,embedding.weight,0.030172100935234366
8,rnn.weight_ih_l0,0.14302948997909448
8,rnn.weight_hh_l0,0.08223062304810422
8,fc.weight,0.10787317376644885
9,embedding.weight,0.013680430097323193
9,rnn.weight_ih_l0,0.06409615370183495
9,rnn.weight_hh_l0,0.039064695802898924
9,fc.weight,0.07015490734980243
10,embedding.weight,0.06955052895952323
10,rnn.weight_ih_l0,0.25193950466582166
10,rnn.weight_hh_l0,0.19862418251921285
10,fc.weight,0.09475184758728156
11,embedding.weight,0.005730905930309358
11,rnn.weight_ih_l0,0.02839550395285306
11,rnn.weight_hh_l0,0.0278536196145397
11,fc.weight,0.06217962520227569
12,embedding.weight,0.004193321387648495
12,rnn.weight_ih_l0,0.018591998316267445
12,rnn.weight_hh_l0,0.024581426433974603
12,fc.weight,0.055231799081456465
