model,dropout,weight_decay,params,train_time_sec,train_acc,val_acc,test_acc,overfit_severity,model_size_mb,train_loss,val_loss,test_loss,exp_dir
lstm,0.1,0.001,584578,30.656459399999903,0.9728344438749359,0.9449760765550239,0.9485645933014354,0.02785836731991198,2.232804298400879,0.07525962882304991,0.17440328498681387,0.15421999501133407,drop0.1_wd0.001
lstm,0.3,1e-05,584578,31.138683899999933,0.9474628395694515,0.937799043062201,0.9449760765550239,0.009663796507250577,2.232804298400879,0.12167253438001652,0.14926914744837969,0.16921891706685224,drop0.3_wd1e-05
lstm,0.1,1e-05,584578,9.69721780000009,0.8669912865197335,0.8588516746411483,0.868421052631579,0.00813961187858514,2.232804298400879,0.3912114431379271,0.39838947962831567,0.39615154376736395,drop0.1_wd1e-05
lstm,0.1,0.0001,584578,10.641585999999961,0.8669912865197335,0.8588516746411483,0.868421052631579,0.00813961187858514,2.232804298400879,0.3913004041695204,0.3986152874098884,0.39630268293398396,drop0.1_wd0.0001
lstm,0.3,0.0001,584578,10.033619900000076,0.8669912865197335,0.8588516746411483,0.868421052631579,0.00813961187858514,2.232804298400879,0.3912242468996126,0.3984344182191072,0.3962639421224594,drop0.3_wd0.0001
lstm,0.3,0.001,584578,12.746575599999915,0.8669912865197335,0.8588516746411483,0.868421052631579,0.00813961187858514,2.232804298400879,0.3912446138555886,0.39853891675119046,0.39623130416428604,drop0.3_wd0.001
lstm,0.5,1e-05,584578,11.986085300000013,0.8669912865197335,0.8588516746411483,0.868421052631579,0.00813961187858514,2.232804298400879,0.39137926929798283,0.39834837670679446,0.39608111536061325,drop0.5_wd1e-05
lstm,0.5,0.0001,584578,16.412665099999913,0.8669912865197335,0.8588516746411483,0.868421052631579,0.00813961187858514,2.232804298400879,0.3911050571525683,0.3982587097971528,0.39601534770594704,drop0.5_wd0.0001
lstm,0.5,0.001,584578,27.772794300000214,0.8669912865197335,0.8588516746411483,0.868421052631579,0.00813961187858514,2.232804298400879,0.3906990766036706,0.39812220357082506,0.3957755609794899,drop0.5_wd0.001
